Country,Bridgewater - Gagebrook,Brighton - Pontville,Old Beach - Otago,Bellerive - Rosny,Cambridge,Geilston Bay - Risdon,Howrah - Tranmere,Lindisfarne - Rose Bay,Mornington - Warrane,Risdon Vale,Rokeby,South Arm,Austins Ferry - Granton,Berriedale - Chigwell,Claremont (Tas.),Derwent Park - Lutana,Glenorchy,Montrose - Rosetta,Moonah,New Norfolk,West Moonah,Kingston - Huntingfield,Kingston Beach - Blackmans Bay,Margate - Snug,Mount Wellington,Taroona - Bonnet Hill,Hobart,Lenah Valley - Mount Stuart,Mount Nelson - Dynnyrne,New Town,Sandy Bay,South Hobart - Fern Tree,West Hobart,Dodges Ferry - Lewisham,Sorell - Richmond,Invermay,Kings Meadows - Punchbowl,Launceston,Legana,Mowbray,Newnham - Mayfield,Newstead,Norwood (Tas.),Prospect Vale - Blackstone,Ravenswood,Riverside,South Launceston,Summerhill - Prospect,Trevallyn,Waverley - St Leonards,West Launceston,Youngtown - Relbia,Beauty Point - Beaconsfield,Deloraine,Grindelwald - Lanena,Hadspen - Carrick,Westbury,Dilston - Lilydale,George Town,Longford,Northern Midlands,Perth - Evandale,Scottsdale - Bridport,St Helens - Scamander,Central Highlands,Derwent Valley,Southern Midlands,Wilderness - East,Bruny Island - Kettering,Cygnet,Geeveston - Dover,Huonville - Franklin,Forestier - Tasman,Triabunna - Bicheno,Acton - Upper Burnie,Burnie - Ulverstone Region,Burnie - Wivenhoe,Parklands - Camdale,Penguin - Sulphur Creek,Romaine - Havenview,Somerset,Ulverstone,West Ulverstone,Wynyard,Devonport,East Devonport,Latrobe,Miandetta - Don,Port Sorell,Quoiba - Spreyton,Sheffield - Railton,Turners Beach - Forth,King Island,North West,Smithton,Waratah,West Coast (Tas.),Wilderness - West,Migratory - Offshore - Shipping (Tas.),No Usual Address (Tas.)
Argentina,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,5,0,0,3,0,4,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,10,3,0,4,0,3,5,0,0,0,4,3,0,0,0,0,0,14,26,17,7,0,0,6,6,0,7,15,0,8,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
